,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
147,36.0,0.0877,0.00902,0.0181,0.0367,1.37,0.669,0.0,9.58e-09,0.0,0.0,0.0,1.0,0.0
148,119.0,0.0591,0.0033799999999999998,0.0494,0.0273,0.772,0.5539999999999999,0.414,3.3e-09,4.1200000000000004e-07,0.332,3.17e-09,2.0,1.0
149,36.0,0.0475,0.00041799999999999997,0.0149,0.0372,1.17,0.644,0.23800000000000002,8.179999999999999e-13,9.14e-06,0.0,0.0,1.0,1.0
150,96.33333333333334,0.059,0.0094,0.0129,0.028,0.826,0.726,0.287,1.33e-10,8.48e-06,0.0,0.0,1.0,1.0
151,64.0,0.0298,0.008140000000000001,0.0199,0.062,1.2,0.107,0.0,1.91e-07,0.0,0.0,0.0,1.0,0.0
152,84.99999999999999,0.0184,0.00525,0.0275,0.0322,1.34,0.763,0.287,7.05e-15,1.05e-05,0.0,0.0,1.0,1.0
153,77.0,0.0808,0.00103,0.0447,0.0753,1.07,0.8,0.295,1.2e-09,4.1700000000000004e-05,0.0,0.0,1.0,1.0
154,86.66666666666667,0.027,0.0026899999999999997,0.0272,0.065,1.06,0.742,0.0,5.99e-14,0.0,0.0,0.0,1.0,0.0
155,23.900000000000002,0.0118,0.008159999999999999,0.0744,0.0453,0.517,0.07,0.0,9.15e-08,0.0,0.0,0.0,1.0,0.0
156,111.0,0.0644,0.000541,0.0236,0.0258,0.8320000000000001,0.39799999999999996,0.484,6.84e-11,5.37e-09,0.45899999999999996,7.48e-11,2.0,1.0
157,117.99999999999999,0.0844,0.008790000000000001,0.0907,0.0398,1.13,0.804,0.336,7.410000000000001e-22,2e-05,0.0,0.0,1.0,1.0
158,107.33333333333334,0.0444,0.006809999999999999,0.0694,0.0762,1.42,0.107,0.0,4.6399999999999997e-07,0.0,0.0,0.0,1.0,0.0
159,85.66666666666666,0.0135,0.000154,0.0553,0.0877,0.86,1.05,0.35700000000000004,5.859999999999999e-64,3.91e-05,0.0,0.0,1.0,1.0
160,65.33333333333333,0.0304,0.00323,0.0799,0.0385,1.26,0.8079999999999999,0.267,5.65e-32,2e-05,0.0,0.0,1.0,1.0
161,119.66666666666666,0.0329,0.00808,0.097,0.061,0.805,0.71,0.0,2.2700000000000002e-10,0.0,0.0,0.0,1.0,0.0
