,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Dust_gap_2
12,33.23333333333333,0.0669,0.00632,0.052000000000000005,0.0324,1.27,0.718,0.0
158,107.33333333333334,0.0444,0.006809999999999999,0.0694,0.0762,1.42,0.107,0.0
632,18.966666666666665,0.0877,0.00691,0.0991,0.0359,0.975,0.685,0.0
264,22.03333333333333,0.0913,0.00581,0.0716,0.0268,0.943,0.705,0.0
307,114.33333333333331,0.040999999999999995,0.00368,0.00698,0.0674,0.972,0.742,0.0
317,97.66666666666669,0.0957,0.008,0.0142,0.0852,0.852,0.09,0.0
359,109.0,0.0424,0.00217,0.0262,0.0458,1.48,0.853,0.0
97,107.0,0.0337,0.00373,0.0889,0.0748,0.53,0.763,0.0
542,38.66666666666666,0.0478,0.00381,0.0291,0.0622,1.46,0.066,0.0
634,79.0,0.0377,0.005520000000000001,0.0266,0.0842,1.04,0.062,0.0
182,85.33333333333333,0.0242,0.00104,0.0807,0.034,1.28,0.562,0.316
720,74.66666666666667,0.0202,0.00882,0.0342,0.0478,0.511,0.722,0.0
709,61.33333333333333,0.0193,0.00689,0.0143,0.025,0.7509999999999999,0.6890000000000001,0.0
402,83.33333333333333,0.0733,0.006940000000000001,0.0547,0.0433,0.633,0.779,0.0
536,113.66666666666666,0.0739,0.00998,0.0536,0.0765,1.23,0.127,0.0
339,27.0,0.0604,0.00375,0.0717,0.0545,1.05,0.053,0.0
613,76.33333333333333,0.043,0.00484,0.0449,0.0656,0.813,0.726,0.0
523,109.0,0.0412,0.00491,0.0353,0.0331,1.3,0.8,0.0
17,103.66666666666666,0.0856,0.00495,0.0136,0.0567,1.26,0.722,0.0
653,104.0,0.0287,0.00633,0.0933,0.0791,0.875,0.066,0.0
577,24.36666666666667,0.0427,0.0026,0.0441,0.0417,1.2,0.7340000000000001,0.0
534,106.33333333333331,0.098,0.00763,0.0313,0.0603,1.41,0.6890000000000001,0.0
356,37.00000000000001,0.0567,0.0019,0.0851,0.0423,1.2,0.804,0.0
313,30.53333333333333,0.0442,0.00236,0.0632,0.0349,1.01,0.759,0.0
723,62.33333333333334,0.0892,0.00635,0.0547,0.0628,1.22,0.6890000000000001,0.0
256,82.0,0.0802,0.00022,0.0522,0.0876,1.44,0.857,0.0
171,28.766666666666666,0.0482,0.00596,0.0687,0.0296,1.46,0.7140000000000001,0.0
188,110.0,0.0555,0.008870000000000001,0.0745,0.0345,0.512,0.787,0.0
770,95.0,0.0232,0.00255,0.0323,0.0822,1.4,0.086,0.0
205,83.00000000000001,0.0288,0.00843,0.0345,0.0677,0.959,0.115,0.0
45,106.0,0.0303,0.00433,0.0179,0.0835,1.08,0.103,0.0
609,106.33333333333331,0.0252,0.007409999999999998,0.051,0.0682,1.43,0.7140000000000001,0.0
62,57.66666666666666,0.016,0.00928,0.0634,0.0278,0.515,0.73,0.0
78,71.0,0.0405,0.00289,0.0956,0.0351,1.05,0.8240000000000001,0.0
355,46.66666666666666,0.0298,0.0033200000000000005,0.0576,0.0387,0.85,0.7709999999999999,0.0
444,65.66666666666666,0.0106,0.000228,0.0309,0.0683,1.39,0.947,0.0
650,18.700000000000006,0.0971,0.00185,0.0892,0.0313,0.957,0.742,0.0
141,61.66666666666666,0.0313,0.007890000000000001,0.0146,0.0538,1.3,0.632,0.0
199,98.66666666666666,0.0133,0.00265,0.0572,0.0354,1.02,0.8370000000000001,0.0
724,88.99999999999999,0.0636,0.0043,0.0616,0.0428,1.02,0.812,0.0
656,68.33333333333333,0.0121,0.00409,0.0367,0.0483,1.1,0.7709999999999999,0.0
128,87.0,0.0775,0.00658,0.0514,0.0633,0.6709999999999999,0.742,0.0
241,110.66666666666666,0.0707,0.00925,0.0628,0.0787,1.24,0.107,0.0
391,50.33333333333334,0.0905,0.00445,0.0418,0.0608,1.12,0.693,0.0
717,49.0,0.0859,0.00238,0.0888,0.0371,0.74,0.8079999999999999,0.0
145,97.66666666666669,0.0545,0.005679999999999999,0.0974,0.0475,1.06,0.816,0.0
279,85.33333333333333,0.0821,0.0047,0.0914,0.0425,0.57,0.8240000000000001,0.0
21,68.0,0.0121,0.00106,0.0368,0.0252,1.1,0.431,0.353
630,68.0,0.0548,0.00564,0.0675,0.04,0.879,0.7829999999999999,0.0
591,27.266666666666666,0.0838,0.00234,0.0031,0.0441,0.711,0.459,0.0
35,71.66666666666666,0.0407,0.0012,0.0589,0.0567,0.557,0.8859999999999999,0.0
497,105.33333333333334,0.0425,0.00811,0.0825,0.0803,1.38,0.057,0.0
160,65.33333333333333,0.0304,0.00323,0.0799,0.0385,1.26,0.8079999999999999,0.0
319,112.0,0.0154,0.00114,0.0629,0.0756,0.84,0.952,0.0
77,62.99999999999999,0.037000000000000005,0.00923,0.0108,0.0715,1.22,0.057,0.0
386,116.66666666666666,0.0387,0.00703,0.0757,0.0482,1.34,0.804,0.0
267,114.33333333333331,0.0175,0.00826,0.00236,0.051,0.742,0.258,0.0
783,61.66666666666666,0.034,0.00156,0.0857,0.0469,1.25,0.857,0.0
109,38.33333333333333,0.0511,0.00864,0.00459,0.0293,1.15,0.435,0.0
248,65.0,0.0844,0.00943,0.051,0.0681,0.634,0.094,0.0
420,55.33333333333333,0.0422,0.00487,0.0268,0.038,1.13,0.746,0.0
101,99.66666666666669,0.0395,0.00365,0.0156,0.0533,0.514,0.7959999999999999,0.0
368,60.66666666666666,0.0583,0.00547,0.0401,0.0482,1.46,0.6970000000000001,0.0
273,74.00000000000001,0.0391,0.000236,0.0333,0.0686,0.994,0.968,0.0
92,70.66666666666667,0.0615,0.00947,0.065,0.0286,1.49,0.7509999999999999,0.0
725,37.333333333333336,0.0741,0.00521,0.0248,0.0612,0.741,0.07400000000000001,0.0
674,51.33333333333334,0.0342,0.00558,0.0264,0.0497,0.573,0.7140000000000001,0.0
561,117.66666666666666,0.0805,0.00559,0.0528,0.0661,1.17,0.685,0.0
738,69.0,0.0628,0.00793,0.0475,0.0383,0.605,0.746,0.0
347,56.33333333333333,0.0882,0.0072,0.013999999999999999,0.0747,0.81,0.062,0.0
381,101.33333333333334,0.0646,0.00491,0.0961,0.0698,1.17,0.792,0.0
775,51.0,0.0183,0.008440000000000001,0.0202,0.0255,1.08,0.6970000000000001,0.0
268,88.66666666666669,0.0919,0.00544,0.0156,0.0893,0.7759999999999999,0.078,0.0
212,18.033333333333328,0.062,0.0014199999999999998,0.0415,0.0272,1.07,0.693,0.0
318,41.66666666666666,0.0286,0.00219,0.0491,0.0378,1.32,0.779,0.0
166,41.333333333333336,0.0319,0.0013,0.0174,0.0696,0.754,0.066,0.0
506,76.0,0.0633,0.0032,0.0605,0.0265,0.936,0.5660000000000001,0.25
189,28.96666666666667,0.0598,0.000104,0.0265,0.0463,0.877,0.254,0.525
346,69.33333333333334,0.0785,0.00829,0.07,0.0742,1.3,0.057,0.0
716,115.0,0.0833,0.00882,0.0637,0.0617,1.08,0.755,0.0
34,110.33333333333334,0.0631,0.00949,0.0311,0.0672,1.36,0.685,0.0
570,9.633333333333333,0.0516,0.00704,0.0707,0.0309,1.02,0.636,0.0
435,41.66666666666666,0.0892,0.005379999999999999,0.085,0.0302,0.674,0.759,0.0
784,97.33333333333331,0.0421,0.00348,0.0541,0.0726,1.08,0.6809999999999999,0.098
376,104.33333333333331,0.0396,0.00903,0.034,0.0435,0.738,0.755,0.0
496,21.66666666666667,0.08199999999999999,0.00498,0.0332,0.0402,1.45,0.6729999999999999,0.0
654,53.00000000000001,0.0604,0.00818,0.049,0.0301,1.41,0.726,0.0
156,111.0,0.0644,0.000541,0.0236,0.0258,0.8320000000000001,0.398,0.459
451,84.66666666666666,0.0687,0.0017,0.0243,0.0942,1.11,0.057,0.0
393,95.66666666666669,0.0457,0.00798,0.0905,0.0408,1.49,0.787,0.0
409,42.66666666666666,0.0313,0.00657,0.0828,0.0564,1.41,0.07400000000000001,0.0
335,26.7,0.016,0.00148,0.0771,0.0307,0.526,0.767,0.0
66,63.33333333333333,0.0964,0.000294,0.0508,0.0477,0.534,0.8740000000000001,0.0
302,48.66666666666666,0.0203,0.008190000000000001,0.0283,0.0257,1.45,0.705,0.0
454,117.0,0.0655,0.000475,0.0703,0.0779,1.25,0.997,0.0
162,49.66666666666666,0.0763,0.000434,0.0582,0.0864,1.29,0.759,0.0
486,108.33333333333331,0.0547,0.00545,0.00162,0.071,0.615,0.115,0.0
