,Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
55,1036,7.15e-05,0.0851,0.0075,0.0585,0.0358,0.5429999999999999,0.6890000000000001,0.0,7.639999999999999e-12,0.0,0.0,0.0,1.0,0.0
56,1037,0.0002,0.0275,0.00402,0.0346,0.0285,1.04,0.767,0.271,3.48e-17,6.41e-06,0.0,0.0,1.0,1.0
57,1038,0.000168,0.0943,0.00109,0.0689,0.046,0.95,0.841,0.332,3.3e-41,1.64e-05,0.0,0.0,1.0,1.0
58,1039,0.000175,0.0862,0.007490000000000001,0.0489,0.0735,0.937,0.062,0.0,1.7e-06,0.0,0.0,0.0,1.0,0.0
59,1040,4.15e-05,0.05,0.00732,0.029,0.0308,1.15,0.648,0.0,1.95e-09,0.0,0.0,0.0,1.0,0.0
60,1041,6.64e-05,0.0638,0.00175,0.086,0.0772,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1042,0.000165,0.0383,0.007640000000000001,0.0606,0.0308,1.33,0.7340000000000001,0.209,3.4e-16,2.7000000000000002e-05,0.0,0.0,1.0,1.0
62,1043,0.000145,0.0856,0.009859999999999999,0.0779,0.096,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1044,0.000327,0.0424,0.00217,0.0262,0.0458,1.48,0.853,0.353,3.2399999999999997e-19,1.1599999999999999e-05,0.0,0.0,1.0,1.0
64,1045,0.00026000000000000003,0.027,0.0026899999999999997,0.0272,0.065,1.06,0.742,0.0,5.99e-14,0.0,0.0,0.0,1.0,0.0
65,850,2.9999999999999997e-05,0.0588,0.00774,0.0565,0.0907,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,851,4.77e-05,0.0237,0.00134,0.0213,0.0281,1.04,0.611,0.14400000000000002,5.27e-16,2.8499999999999998e-05,0.0,0.0,1.0,1.0
67,852,0.000268,0.0612,0.000781,0.0352,0.0677,0.5579999999999999,0.9390000000000001,0.369,6.379999999999999e-19,2.8800000000000002e-05,0.0,0.0,1.0,1.0
68,853,8.35e-05,0.0903,0.00278,0.00451,0.0485,1.37,0.49200000000000005,0.0,1.23e-06,0.0,0.0,0.0,1.0,0.0
69,854,3.6700000000000004e-05,0.0946,0.007,0.0134,0.0453,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,855,0.000181,0.0736,0.004529999999999999,0.0794,0.0318,0.529,0.7879999999999999,0.262,1.6500000000000001e-25,1.4999999999999999e-05,0.0,0.0,1.0,1.0
71,856,0.000242,0.0826,0.0008300000000000001,0.0357,0.0973,1.09,0.037000000000000005,0.0,4.01e-06,0.0,0.0,0.0,1.0,0.0
72,857,0.00016,0.094,0.00018700000000000002,0.0577,0.0467,0.506,0.57,0.336,1.1899999999999999e-08,6.6e-06,0.28300000000000003,8.62e-09,2.0,1.0
73,858,0.000133,0.0601,0.0057399999999999994,0.0551,0.0909,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,859,0.000256,0.0779,0.00427,0.0197,0.0945,1.04,0.053,0.0,1.91e-06,0.0,0.0,0.0,1.0,0.0
75,860,0.00035800000000000003,0.028,0.00316,0.0704,0.0984,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,861,0.00016,0.082,0.0077,0.0562,0.0515,0.9620000000000001,0.705,0.0,1.4299999999999999e-08,0.0,0.0,0.0,1.0,0.0
77,862,0.00028700000000000004,0.019,0.00965,0.0534,0.0363,0.986,0.755,0.254,1.1699999999999999e-15,2.64e-05,0.0,0.0,1.0,1.0
78,863,2.8899999999999998e-05,0.0516,0.00704,0.0707,0.0309,1.02,0.636,0.0,4.66e-09,0.0,0.0,0.0,1.0,0.0
79,864,0.00010700000000000001,0.0729,0.00939,0.0408,0.0647,1.0,0.037000000000000005,0.0,2.48e-06,0.0,0.0,0.0,1.0,0.0
80,865,0.00014099999999999998,0.0673,0.00133,0.0214,0.0754,0.713,0.066,0.0,1.38e-06,0.0,0.0,0.0,1.0,0.0
81,866,0.000106,0.0244,0.00987,0.0911,0.033,0.978,0.705,0.0,1.62e-14,0.0,0.0,0.0,1.0,0.0
82,867,7.96e-05,0.0426,0.008870000000000001,0.0775,0.0992,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,868,0.00028900000000000003,0.059,0.0094,0.0129,0.028,0.826,0.726,0.287,1.33e-10,8.48e-06,0.0,0.0,1.0,1.0
84,869,0.000346,0.073,0.00895,0.0901,0.0427,1.17,0.7959999999999999,0.29100000000000004,1.4499999999999998e-21,2.7399999999999995e-05,0.0,0.0,1.0,1.0
85,1000,0.000332,0.0603,0.0034,0.0223,0.0455,0.659,0.82,0.32799999999999996,1.2e-15,1.7e-05,0.0,0.0,1.0,1.0
86,1001,6.36e-05,0.06,0.00618,0.056,0.0985,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1002,0.00032900000000000003,0.0501,0.00165,0.0481,0.097,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1003,0.000312,0.0936,0.0016,0.0249,0.0582,1.11,0.8859999999999999,0.365,3.36e-18,2.1899999999999997e-05,0.0,0.0,1.0,1.0
89,1004,0.00033,0.0694,0.00512,0.0826,0.0697,0.795,0.738,0.0,7.42e-08,0.0,0.028999999999999998,2.68e-06,2.0,0.0
90,1005,0.000307,0.0458,0.0020800000000000003,0.0124,0.0601,0.679,0.8370000000000001,0.299,6.2599999999999996e-12,3.229999999999999e-05,0.0,0.0,1.0,1.0
91,1006,0.000294,0.0937,0.00011200000000000001,0.0999,0.0663,0.652,0.111,0.623,1.37e-07,7.06e-06,0.8370000000000001,1.8000000000000002e-20,2.0,1.0
92,1007,0.00025299999999999997,0.0817,0.0008380000000000001,0.0637,0.0912,1.42,0.9229999999999999,0.226,3.03e-07,3.570000000000001e-05,0.0,0.0,1.0,1.0
93,1008,4.4e-05,0.0332,0.00646,0.0545,0.0566,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1009,0.000272,0.083,0.007859999999999999,0.0376,0.0667,0.568,0.6970000000000001,0.0,1.59e-08,0.0,0.0,0.0,1.0,0.0
95,1010,0.00019099999999999998,0.01,0.00703,0.0696,0.0519,0.519,0.7340000000000001,0.0,2.2400000000000004e-16,0.0,0.0,0.0,1.0,0.0
96,1011,0.000341,0.0163,0.00434,0.0356,0.0798,0.76,0.115,0.0,1.12e-07,0.0,0.0,0.0,1.0,0.0
97,1012,4.49e-05,0.0652,0.00303,0.0705,0.0493,0.63,0.025,0.0,2.82e-06,0.0,0.0,0.0,1.0,0.0
98,1013,0.000349,0.0218,0.009,0.0227,0.0942,1.18,0.057,0.0,5.660000000000001e-07,0.0,0.0,0.0,1.0,0.0
99,1014,0.0003,0.0831,0.0063,0.091,0.084,1.25,0.053,0.0,3.41e-06,0.0,0.0,0.0,1.0,0.0
100,1015,0.000118,0.0247,0.000459,0.00954,0.0738,0.8959999999999999,0.755,0.0,2.0899999999999998e-07,0.0,0.0,0.0,1.0,0.0
101,1016,2.61e-05,0.0874,0.0075,0.0836,0.0315,0.748,0.623,0.0,1.04e-07,0.0,0.0,0.0,1.0,0.0
102,1017,0.000297,0.0703,0.00656,0.0862,0.083,1.12,0.057,0.0,2.74e-06,0.0,0.0,0.0,1.0,0.0
103,1018,0.00035800000000000003,0.0818,0.00514,0.0604,0.0628,0.782,0.816,0.287,1.93e-20,3.8799999999999994e-05,0.0,0.0,1.0,1.0
104,1019,7.57e-05,0.0917,0.00613,0.0622,0.0588,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1020,2.8100000000000002e-05,0.08,0.006409999999999999,0.0932,0.0782,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1021,0.000151,0.0905,0.00445,0.0418,0.0608,1.12,0.693,0.0,5.4500000000000005e-08,0.0,0.0,0.0,1.0,0.0
107,1022,0.000304,0.0932,0.00352,0.00434,0.0568,0.905,0.738,0.258,1.62e-08,3.69e-05,0.0,0.0,1.0,1.0
108,1023,2.47e-05,0.0676,0.00948,0.0867,0.0332,1.17,0.049,0.0,9.009999999999999e-07,0.0,0.0,0.0,1.0,0.0
109,1024,3.11e-05,0.077,0.00302,0.0113,0.0927,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,50,0.000156,0.0651,0.0018800000000000002,0.0739,0.056,1.47,0.8240000000000001,0.258,2.64e-26,3.86e-05,0.0,0.0,1.0,1.0
111,51,2.8300000000000003e-05,0.0294,0.00394,0.0887,0.0947,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,52,9.25e-05,0.0289,0.008329999999999999,0.0717,0.0403,0.815,0.6890000000000001,0.0,1.46e-12,0.0,0.0,0.0,1.0,0.0
113,53,0.000212,0.0172,0.007509999999999999,0.0938,0.077,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,54,0.000337,0.0165,0.00156,0.0901,0.044,1.5,0.9309999999999999,0.386,6.31e-53,6.05e-06,0.0,0.0,1.0,1.0
115,55,0.000246,0.0802,0.00022,0.0522,0.0876,1.44,0.857,0.574,3.1e-16,2.72e-05,0.0,0.0,1.0,1.0
116,56,0.00036,0.0541,0.00286,0.0802,0.0414,0.8290000000000001,0.894,0.39399999999999996,6.18e-35,7.25e-06,0.0,0.0,1.0,1.0
117,57,5.629999999999999e-05,0.0151,0.008320000000000001,0.0172,0.0327,0.56,0.644,0.0,7.8e-09,0.0,0.0,0.0,1.0,0.0
118,58,0.000148,0.049,0.006840000000000001,0.00946,0.0988,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,59,7.120000000000001e-05,0.0207,0.00499,0.0675,0.09,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,60,0.000177,0.0371,0.00992,0.0122,0.0643,0.649,0.09,0.0,7.040000000000001e-07,0.0,0.0,0.0,1.0,0.0
121,61,0.000338,0.0583,0.008759999999999999,0.0764,0.0312,0.7709999999999999,0.7959999999999999,0.324,4.3600000000000006e-21,8.66e-06,0.0,0.0,1.0,1.0
122,62,0.000248,0.0467,0.0040100000000000005,0.0293,0.0407,1.1,0.792,0.275,3.1800000000000004e-16,2.09e-05,0.0,0.0,1.0,1.0
123,63,6.08e-05,0.0158,0.00873,0.0909,0.0865,0.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,64,0.000322,0.038,0.009170000000000001,0.0384,0.0383,1.25,0.763,0.275,7.52e-14,2.48e-05,0.0,0.0,1.0,1.0
125,65,0.000157,0.0328,0.00121,0.0793,0.0504,0.602,0.853,0.275,4.82e-38,2.9100000000000003e-05,0.0,0.0,1.0,1.0
126,66,9.39e-05,0.0622,0.00464,0.0842,0.0948,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,67,0.000175,0.0787,0.00745,0.0228,0.0812,1.32,0.028999999999999998,0.0,3.4e-06,0.0,0.0,0.0,1.0,0.0
128,68,0.000344,0.0701,0.00645,0.0198,0.0868,0.675,0.107,0.0,6.070000000000001e-07,0.0,0.0,0.0,1.0,0.0
129,69,0.00018,0.0283,0.00463,0.0958,0.0664,0.833,0.066,0.0,8.94e-07,0.0,0.0,0.0,1.0,0.0
130,70,0.000121,0.0895,0.0071,0.0241,0.0502,1.12,0.652,0.0,5.71e-08,0.0,0.0,0.0,1.0,0.0
131,71,0.000279,0.0526,0.00485,0.0378,0.0728,1.06,0.71,0.0,3.06e-08,0.0,0.0,0.0,1.0,0.0
